page,code,title,blurb,href
3,33839,Central Records Shift Supervisor,"A Central Records Shift Supervisor directs and coordinates the activities and operations of the Central Records Division of the Police Department during an assigned 8-hour shift. Work of this class involves directing the activities of mail, criminal history, fin­gerprint identification, warrant microfilm, police report re­view, juvenile records, operations services and data pro­cessing work units. Incumbents receive general supervision from an administrative superior. Employees in this class work one of three shifts: 1st Shift - 11 P.M. to 7 A.M., 2nd Shift – 7 A.M. to 3 P.M., or 3rd Shift – 3 P.M. to 11 P.M., which include weekends and holidays. Work is performed in an office where normal...",/careers/baltimorecity/classspecs/790929
3,33351,911 Operator,A 911 Operator operates emergency telephone equipment and answers police emergency (911) telephone calls for assistance from the general public. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a rotating shift including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where high mental pressure and stress may be encountered at times. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the class of 911 Lead Operator in that it does not...,/careers/baltimorecity/classspecs/790801
3,41523,Watershed Ranger II,"A Watershed Ranger II enforces criminal, civil and natural resource protocols, laws, rules and regulations and conducts natural resource conservation activities at and in the vicinity of the Baltimore City watersheds. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work an assigned shift to provide 24-hour 7-day a week coverage subject to call-back as required for emergencies. Work is primarily performed out-of-doors where there may be exposure to inclement weather, extremes of temperature and irate persons. Work requires regular moderate physical activity in walking and standing...",/careers/baltimorecity/classspecs/791794
3,41524,Watershed Ranger III,"A Watershed Ranger III enforces criminal, civil, natural resource protocols, laws, rules and regulations and conducts natural resource conservation activities at and in the vicinity of the Baltimore City watersheds. Work of this class involves leading watershed ranger staff, but does not involve full supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work an assigned shift to provide 24-hour 7-day a week coverage subject to call-back as required for emergencies. Work is primarily performed out-of-doors where there may be exposure to inclement weather, extremes of temperature and irate persons. Work requires...",/careers/baltimorecity/classspecs/791795
3,33361,Call Center Agent I,A Call Center Agent I receives and processes telephone calls from the general public requesting government services or information  and non-emergency police calls and prepares police reports. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a rotating shift including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where some mental pressure and stress may be encountered at times. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the...,/careers/baltimorecity/classspecs/790913
3,34512,Research Analyst II,"A Research Analyst II organizes and analyzes data of  international, national and local intelligence and statistics into actionable data in a City agency. The work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Positions in this class that are assigned to the Baltimore City Police Department, work a rotating shift, to include evening, weekend and holidays. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from that of the...",/careers/baltimorecity/classspecs/791582
3,33335,Emergency Dispatch Supervisor,"An Emergency Dispatch Supervisor supervises the receiving and dispatching of emergency police calls. Work of this class involves supervising emergency dispatch workers. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts including evenings, weekends, and holidays. Work is performed in a radio communications station where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791114
4,71147,Fingerprint Section Manager,"A Fingerprint Section Manager directs, plans and coordinates the program activities of a police fingerprint identification section. The work of this class involves directing the activities of fingerprint identification work units. Incumbents receive general direction from an administrative superior. Employees in this class work a conventional workweek and are subject to 24-hour emergency callback. The work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791163
4,33330,Emergency Dispatcher,"An Emergency Dispatcher dispatches police units by two-way radio. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work rotating shifts including evenings, weekends and holidays. Work is performed in a radio communications station. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791115
4,41179,Community Service Officer,"A Community Service Officer receives training in law enforcement practices and procedures and performs community and related work. Work of this class involves no supervisory duties or responsibilities. Incumbents receive close supervision from a technical superior. Employees in this class work rotating shifts including evening, weekend and holiday hours. Work is performed in buildings, on the street, in traffic and in the community where there may be danger because of law enforcement activities, traffic conditions and neighborhood locations. Work may require moderate physical activity involving standing in traffic, controlling crowds and participating in police youth activities....",/careers/baltimorecity/classspecs/790993
4,41613,Special Traffic Enforcement Officer,"A Special Traffic Enforcement Officer directs vehicular and pedestrian traffic at assigned intersections and issues citations for moving violations. The work of this class involves no supervisory duties or responsibilities. Employees receive moderate supervision from a technical superior. Employees in this class work a rotating shift to provide evening and weekend coverage and are subject to callback for emergency situations. Work is performed in a vehicle or outdoors where the employee is exposed to such uncomfortable environmental and hazardous working conditions as inclement weather, traffic hazards and verbal or physical abuse. Work requires moderate physical exertion such as standing...",/careers/baltimorecity/classspecs/791635
4,34514,Research Analyst Supervisor,"A Research Analyst Supervisor plans, schedules and coordinates the analysis of data of international, national and local intelligence and statistics in a City agency. The work of this class involves supervising research, and office support personnel. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek. Work is performed in an office where working conditions are normal. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/884984
4,41626,Transportation Enforcement Officer I,"A Transportation Enforcement Officer I performs parking control and traffic enforcement work in Baltimore City.  These employees patrol City streets to enforce parking ordinances, and direct vehicular and pedestrian traffic at assigned intersections and issues citations for moving violations.  The work of this class involves no supervisory duties or responsibilities. Employees receive moderate supervision from a technical superior.  Employees in this class work a rotating shift to provide evening and weekend coverage and are subject to callback for emergency situations.  Work is performed in a vehicle or outdoors where the employee is exposed to such uncomfortable environmental and hazardous...",/careers/baltimorecity/classspecs/1014807
4,42931,Code Enforcement Investigator I,"A Code Enforcement Investigator I investigates alleged violations of environmental and housing code regulations and laws and participates in identifying violators and planning their apprehension, indictment and conviction. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical supervisor. Employees in this class work a conventional workweek that may include evenings, weekends and holidays. The employees work in an office and on site of violations where such conditions as seasonal weather extremes, hazardous waste, and hostile confrontations may be encountered. Work involves moderate physical exertion involving long...",/careers/baltimorecity/classspecs/790956
4,41627,Transportation Enforcement Officer II,"A Transportation Enforcement Officer II performs technical parking control and traffic enforcement work in Baltimore City. The work of this class involves assigning and reviewing the work of staff performing parking control and traffic enforcement activities, but does not involve full supervisory duties or responsibilities. Employees receive moderate supervision from a technical superior. Employees in this class work a rotating shift to provide evening and weekend coverage and are subject to callback for emergency situations. Work is performed in a vehicle or outdoors where the employee is exposed to such uncomfortable environmental and hazardous working conditions as inclement weather,...",/careers/baltimorecity/classspecs/1014811
4,42933,Code Enforcement Investigator II,"A Code Enforcement Investigator II conducts investigations of a complex, high-profile and sensitive nature of alleged violations of environmental and housing code regulations and laws, identifies vi­olators and participates in planning their apprehension, indictment and conviction. Work of this class involves leading code enforcement investigators, but does not involve full super­visory duties or responsibilities. Incumbents receive general supervision from a technical supervisor. Employees in this class work a conventional workweek that may include evenings, weekends and holidays. The employees work in an office and on site of violations where such conditions as seasonal weather extremes,...",/careers/baltimorecity/classspecs/790957
4,41525,Watershed Ranger Supervisor,"A Watershed Ranger Supervisor oversees the enforcement of criminal, civil, and natural resource protocols, laws, rules and regulations and the conservation of natural resources  at and in the vicinity of the Baltimore City watersheds. Work of this class involves supervising watershed rangers. Incumbents receive general supervision from an administrative superior.  Employees in this class work an assigned shift to provide 24-hour 7-day a week coverage subject to call-back as required for emergencies.  Work is performed indoors where there are few uncomfortable working conditions and in the field where there may be exposure to inclement weather and irate persons. Work requires occasional...",/careers/baltimorecity/classspecs/791796
5,33365,Call Center Supervisor,"A Call Center Supervisor evaluates the performance of, disciplines and recommends the hiring, firing and promoting of subordinate customer service agent personnel. The work of this class involves supervising customer service agent and clerical staff. Incumbents receive general supervision from an administrative superior. Employees in this class work a rotating shift including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where some mental pressure and stress may be encountered at times. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/790915
5,33216,Crime Laboratory Assistant,"A Crime Laboratory Assistant documents, monitors and coordinates forensic evidence processes. Work of this class involves no supervisory duties. Incumbents receive general supervision from a technical forensic superior.  Employees in this class work a conventional workweek.  Work is performed in an office, laboratory, or crime scene. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/860938
5,41611,Parking Control Agent,"A Parking Control Agent patrols City streets to enforce parking regulations. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a rotating shift, which may include evening, weekend and callback hours. Work is performed outdoors where inclement weather and traffic hazards are regularly encountered. Work requires periods of prolonged walking and standing. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/791439
5,41629,Transportation Enforcement Supervisor II,"A Transportation Enforcement Supervisor II plans and oversees the daily activities of multiple squads engaged in performing parking control and traffic enforcement activities. Work of this class involves directing the activities of parking control and traffic enforcement units. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift which may include evening, weekend and callback hours. Work is performed outdoors on foot or in a vehicle where inclement weather and traffic hazards are regularly encountered. Work requires minimal physical exertion; occasional periods of prolonged standing and walking are required when directing traffic....",/careers/baltimorecity/classspecs/1014817
5,41612,Parking Control Agent II,"A Parking Control Agent II patrols City streets to enforce the payment of parking fines by locating and immobilizing the vehicles of habitual offenders. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek which may include evening, weekend and callback hours. Work is performed in a vehicle or outdoors where the employee is exposed to such uncomfortable environmental and hazardous working conditions as inclement weather, traffic hazards and verbal or physical abuse. Work requires moderate physical exertion in lifting and fitting vehicle immobilization...",/careers/baltimorecity/classspecs/791440
5,41411,Animal Enforcement Officer,"An Animal Enforcement Officer drives an animal transport truck and responds to a variety of service calls related to animals including calls to retrieve animals in severe distress and deceased animals.  An Animals Enforcement Officer investigate allegations of animal abuse and neglect, takes steps to remove abused or endangered animals from homes and owners, and transports animals safely to the City's shelter or to emergency care.  Work of this class involves no supervisory duties or responsibilities, however they are paired with and assist other officers and may assist in the training of new officers. Incumbents receive moderate supervision from an administrative superior.  Employees in...",/careers/baltimorecity/classspecs/790828
5,41628,Transportation Enforcement Supervisor I,"A Transportation Enforcement Supervisor I supervises a unit squad in performing parking control and traffic enforcement activities of an assigned geographical area. Work of this class involves supervising the activities of Transportation Enforcement Officers and Parking Control Agents. Incumbents receive moderate supervision from a technical superior. Employees in this class work a rotating shift which may include evening, weekend and callback hours. Work is performed outdoors on foot or in a vehicle where inclement weather and traffic hazards are regularly encountered. Work requires minimal physical exertion; occasional periods of prolonged standing and walking are required when directing...",/careers/baltimorecity/classspecs/1014814
5,33362,Call Center Agent II,"A Call Center Agent II assigns, reviews and corrects the work of Call Center Agent I’s and Trainees receiving and processing telephone calls from the general public requesting government services or information ;  receiving non-emergency police calls and preparing police reports. The work of this class involves leading Call Center Agent I’s and Trainees but does not involve full supervisory duties or responsibilities. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift including weekends and legal holidays. Work is performed in an office where there are few hazardous conditions but where some mental pressure and stress may be...",/careers/baltimorecity/classspecs/790914
5,33837,Crime Record Technician,A Crime Record Technician recommends approval or denial of requests to expunge criminal records. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from an administrative superior. Employees in this class work a conventional workweek. Work is performed in an office setting where working conditions are normal. The work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791030
5,52725,Aviation Maintenance Program Supervisor,"An Aviation Maintenance Program Supervisor manages the Baltimore City Police Department's Aviation Maintenance Program in accordance with Federal Aviation Administration regulations and manufacturers' specifications.  Work of this class involves supervising aviation inspection, maintenance and repair personnel. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek and are subject to emergency callback. Work is performed in the office and in a hangar where incumbents are exposed to noise, equipment with moving parts, chemicals and caustic substances and materials, and requires safety and protective equipment.  Work...",/careers/baltimorecity/classspecs/790884
6,42512,Environmental Sanitarian II,"An Environmental Sanitarian II performs environmental health investigations and issues violation notices and civil and environmental citations. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek including evening and weekend hours and on a 24-hour call back in case of emergencies. Work is performed at sites of investigations where vermin, dirt, filth, dilapidated structures and other undesirable conditions are encountered. Work requires moderate physical exertion involving long periods of standing, walking or crouching while inspecting business sites....",/careers/baltimorecity/classspecs/791150
6,71146,Fingerprint Technician Supervisor,A Fingerprint Technician Supervisor plans and coordinates the fingerprint identification and filing activities of a police fingerprint identification section. The work of this class involves supervising fingerprint technicians and office support personnel. Incumbents receive general supervision from a technical superior. Employees in this class work a rotating shift which includes weekend and holiday hours and are subject to 24-hour emergency callback. The work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791165
6,42511,Environmental Sanitarian I,"An Environmental Sanitarian I receives training in environmental health investigation, and issues violation notices and civil and environmental citations. Work of this class involves no supervisory duties or responsibilities. Incumbents receive close supervision from a technical superior. Employees in this class work a conventional workweek including evening and weekend hours and on a 24-hour call back in case of emergencies. Work is performed at sites of investigations where vermin, dirt, filth, dilapidated structures and other undesirable conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK The work of this class is distinguished from...",/careers/baltimorecity/classspecs/791149
6,53817,Solid Waste Assistant Superintendent,"A Solid Waste Assistant Superintendent participates in planning, coordinating and overseeing solid waste and recycling collection and maintenance operations of one of two assigned City-wide districts or the City’s transfer station. Work of this class involves directing the activities of solid waste collection, maintenance, laboring, equipment operation and office support work units. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek including rotating shifts, evening hours and callback for emergencies as required. Work is performed in the office and at work sites in the field where there may be exposure to inclement...",/careers/baltimorecity/classspecs/791628
6,42515,Environmental Health Supervisor,An Environmental Health Supervisor plans and coordinates the activities of an environmental health program. Work of this class involves supervising sanitarians and office support personnel. Incumbents receive general supervision from an administrative superior. Employees in this class work a conventional workweek including evening and weekend hours and on a 24-hour on call back in case of emergencies. Work is performed in an office where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.,/careers/baltimorecity/classspecs/791144
6,53827,Landfill Superintendent,"A Landfill Superintendent plans, coordinates and oversees solid waste disposal facilities and operations. Work of this class involves directing the activities of solid waste disposal, maintenance, laboring, equipment operation and office support work units. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek including rotating shifts, evening hours and callback for emergencies as required. Work is performed in the office and at work sites in the field where there may be exposure to inclement weather, poor driving conditions, animal and insect bites and hazardous waste. Work requires minimal physical exertion. DISTINGUISHING...",/careers/baltimorecity/classspecs/791304
6,00143,Executive Level II,"An Executive Level II serves as the department head of a small City department or the deputy department head of a large department in the municipal government of the City of Baltimore. Work of this class involves directing the activities of various bureaus, divisions and sections within a department. Employees in this class receive executive direction from the Mayor and applicable commissions and boards. Employees in this class work a conventional workweek that may involve evening and weekend hours and 24-hour callback in emergency situations. Work is performed in an office setting where normal working conditions are encountered. Work requires minimal physical exertion. DISTINGUISHING...",/careers/baltimorecity/classspecs/951901
6,53816,Solid Waste Superintendent,"A Solid Waste Superintendent plans, coordinates and oversees solid waste and recycling collection and maintenance operations of one of two assigned City-wide districts or the cleaning, boarding and securing of real estate property. Work of this class involves directing the activities of solid waste collection, maintenance, laboring, equipment operation and office support work units. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek including rotating shifts, evening hours and callback for emergencies as required. Work is performed in the office and at work sites in the field where there may be exposure to inclement...",/careers/baltimorecity/classspecs/791631
6,00142,Executive Level I,"An Executive Level I serves as a staff professional, program coordinator, or liaison with community groups or business, educational and cultural communities and special interest groups in the municipal government of the City of Baltimore. Work of this class may involve supervising subordinate administrative, clerical and technical supervisors and staff. Employees in this class receive managerial direction from an administrative superior. Employees in this class work a conventional workweek that may involve evening and weekend hours and 24-hour callback in emergency situations. Work is performed in an office setting where normal working conditions are encountered. Work requires minimal...",/careers/baltimorecity/classspecs/910685
6,41413,Animal Control Investigator,"An Animal Control Investigator coordinates, investigates and documents findings of animal control and protection cases that involve animal bites and similarly complex cases. Work of this class involves no supervisory duties or responsibilities. Incumbents receive moderate supervision from a technical superior. Employees in this class work a conventional workweek, but are subject to 24-hour call-back. Work is mostly in an office, but also involves field visits in the community where such conditions as seasonal weather extremes and hostile confrontations may be encountered. Work requires minimal physical exertion. DISTINGUISHING FEATURES OF THE WORK Not Applicable.",/careers/baltimorecity/classspecs/790827
